cost,実際にかかった費用
groupby_mean,"gr_mean_['shipment_mode', 'weekday', 'drop_off_point', 'shipping_company', 'hour', 'destination_country', 'shipment_id']_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']"
groupby_diff,"gr_diff_['shipment_mode', 'weekday', 'drop_off_point', 'shipping_company', 'hour', 'destination_country', 'shipment_id']_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']"
groupby_std,"gr_std_['shipment_mode', 'weekday', 'drop_off_point', 'shipping_company', 'hour', 'destination_country', 'shipment_id']_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']"
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
processing_days,年中無休で港が開いているならTrue
cut_off_time,いつでも商品を受け取ることができるならTrue
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
base_data,初期
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
xfeat_data,xfeatで作った特徴量
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
target_encoding,xfeatでやった
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges']",tkmさんの特徴量、それっぽいやつ
"sign_log1p_abs_['freight_cost', 'gross_weight', 'shipment_charges', 'cost']",tkmさんの特徴量、それっぽいやつ
